doc_id,canonical_url,archive_url,wayback_timestamp,title,category,status,error,char_count
cb_help_0086,https://help.coinbase.com/en/coinbase/privacy-and-security/other/why-will-my-password-reset-require-24-hours-to-process,https://web.archive.org/web/20230601154258id_/https://help.coinbase.com/en/coinbase/privacy-and-security/other/why-will-my-password-reset-require-24-hours-to-process,20230601154258,Why will my password reset require 24 hours to process? | Coinbase Help,Privacy And Security,ok,,603
cb_help_0087,https://help.coinbase.com/en/coinbase/trading-and-funding/buying-selling-or-converting-crypto/why-are-buys-and-deposits-disabled-on-my-account,https://web.archive.org/web/20230320185305id_/https://help.coinbase.com/en/coinbase/trading-and-funding/buying-selling-or-converting-crypto/why-are-buys-and-deposits-disabled-on-my-account,20230320185305,Why am I unable to buy crypto and add cash on my account? | Coinbase Help,Trading And Funding,ok,,1134
cb_help_0089,https://help.coinbase.com/en/coinbase/trading-and-funding/cryptocurrency-trading-pairs/how-to-send-and-receive-cryptocurrency,https://web.archive.org/web/20211020014338id_/https://help.coinbase.com/en/coinbase/trading-and-funding/cryptocurrency-trading-pairs/how-to-send-and-receive-cryptocurrency,20211020014338,How to send and receive cryptocurrency | Coinbase Help,Trading And Funding,ok,,4671
cb_help_0090,https://help.coinbase.com/en/coinbase/trading-and-funding/other/what-countries-and-us-states-are-supported-for-coinbase-and-the-usd-wallet,https://web.archive.org/web/20230927131003id_/https://help.coinbase.com/en/coinbase/trading-and-funding/other/what-countries-and-us-states-are-supported-for-coinbase-and-the-usd-wallet,20230927131003,What countries and US states are supported for Coinbase and the USD wallet? | Coinbase Help,Trading And Funding,ok,,633
cb_help_b8c6007da8c0,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/using-a-bank-account-as-a-payment-method-for-us-customers,https://web.archive.org/web/20230531003058id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/using-a-bank-account-as-a-payment-method-for-us-customers,20230531003058,Using a bank account as a payment method for US customers | Coinbase Help,Getting Started,ok,,4221
cb_help_766c87b97273,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/2-factor-authentication-2fa-faq,https://web.archive.org/web/20220813192731id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/2-factor-authentication-2fa-faq,20220813192731,What is 2-step verification? | Coinbase Help,Getting Started,ok,,2513
cb_help_50f6fb4a4f2f,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-do-i-verify-my-identity-when-using-the-mobile-app,https://web.archive.org/web/20230131043854id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-do-i-verify-my-identity-when-using-the-mobile-app,20230131043854,How do I verify my identity through the mobile app? | Coinbase Help,Getting Started,ok,,681
cb_help_cdfa137e2e04,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/identity--photo-verification,https://web.archive.org/web/20220814062557id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/identity--photo-verification,20220814062557,Identity photo verification | Coinbase Help,Getting Started,ok,,1625
cb_help_cd73bf94db4d,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/security-keys-faq,https://web.archive.org/web/20220626054143id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/security-keys-faq,20220626054143,Security keys FAQ | Coinbase Help,Getting Started,ok,,1220
cb_help_56499d52ff05,https://help.coinbase.com/en/coinbase/managing-my-account/link-a-payment-method/troubleshooting-sepa-deposits-and-withdrawals,https://web.archive.org/web/20231202092100id_/https://help.coinbase.com/en/coinbase/managing-my-account/link-a-payment-method/troubleshooting-sepa-deposits-and-withdrawals,20231202092100,Troubleshooting SEPA deposits and withdrawals | Coinbase Help,Managing My Account,ok,,1848
cb_help_05322f529f7c,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/using-and-managing-security-keys,https://web.archive.org/web/20210702060406id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/using-and-managing-security-keys,20210702060406,Using and managing security keys | Coinbase Help,Managing My Account,ok,,2795
cb_help_63a7037bb474,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-didnt-i-receive-a-verification-email,https://web.archive.org/web/20220126204922id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-didnt-i-receive-a-verification-email,20220126204922,Why didn't I receive a verification email? | Coinbase Help,Managing My Account,ok,,1678
cb_help_eb41956ef2a6,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-is-my-vault-withdrawal-pending,https://web.archive.org/web/20240112115633id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-is-my-vault-withdrawal-pending,20240112115633,Why is my vault withdrawal pending? | Coinbase Help,Managing My Account,ok,,3070
cb_help_d20843f92694,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-buy-digital-currency-with-a-credit-or-debit-card-in-europe-and-the-uk,https://web.archive.org/web/20230306004457id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-buy-digital-currency-with-a-credit-or-debit-card-in-europe-and-the-uk,20230306004457,How do I buy cryptocurrency with a credit or debit card in Europe and the UK? | Coinbase Help,Getting Started,ok,,1711
cb_help_b998d3851919,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-locate-my-payment-method-verification-amounts,https://web.archive.org/web/20230531002727id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-locate-my-payment-method-verification-amounts,20230531002727,How do I verify my bank info? | Coinbase Help,Getting Started,ok,,3331
cb_help_edc90772b172,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-use-my-local-currency-wallet-usd-eur-gbp,https://web.archive.org/web/20220924230748id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-use-my-local-currency-wallet-usd-eur-gbp,20220924230748,Cash balances | Coinbase Help,Getting Started,ok,,1699
cb_help_9bdaf4b683ab,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-to-successfully-verify-a-billing-address,https://web.archive.org/web/20230531002813id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-to-successfully-verify-a-billing-address,20230531002813,How to successfully verify a billing address | Coinbase Help,Getting Started,ok,,1367
cb_help_6fb4c2ab534e,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/instant-withdrawal,https://web.archive.org/web/20220419090156id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/instant-withdrawal,20220419090156,Instant Cashouts | Coinbase Help,Getting Started,ok,,5468
cb_help_26a1f5918f1b,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/why-are-my-payment-method-verification-amounts-incorrect,https://web.archive.org/web/20231001152312id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/why-are-my-payment-method-verification-amounts-incorrect,20231001152312,Why are my payment method verification amounts incorrect? | Coinbase Help,Getting Started,ok,,2000
cb_help_3828cace2834,https://help.coinbase.com/en/coinbase/getting-started/other/how-can-i-contact-coinbase-support,https://web.archive.org/web/20220719174922id_/https://help.coinbase.com/en/coinbase/getting-started/other/how-can-i-contact-coinbase-support,20220719174922,How can I contact Coinbase Support? | Coinbase Help,Getting Started,ok,,1867
cb_help_ce5cf4893a55,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/2step-verification-apps,https://web.archive.org/web/20230531002311id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/2step-verification-apps,20230531002311,What 2-step verification apps (TOTP) can I use? | Coinbase Help,Getting Started,ok,,754
cb_help_33e29173b6a5,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/device-confirmation-troubleshooting,https://web.archive.org/web/20230306004445id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/device-confirmation-troubleshooting,20230306004445,Device confirmation troubleshooting | Coinbase Help,Getting Started,ok,,1887
cb_help_c08764cea791,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-do-i-set-up-2-factor-authentication,https://web.archive.org/web/20220731141717id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-do-i-set-up-2-factor-authentication,20220731141717,How do I set up 2-step verification? | Coinbase Help,Getting Started,ok,,1982
cb_help_e66266cb5fa3,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-to-enable-a-webcam,https://web.archive.org/web/20230531002524id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-to-enable-a-webcam,20230531002524,How to enable a webcam | Coinbase Help,Getting Started,ok,,1717
cb_help_1434ace17494,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/id-doc-verification,https://web.archive.org/web/20220924230225id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/id-doc-verification,20220924230225,How to verify your identity on Coinbase | Coinbase Help,Getting Started,ok,,3469
cb_help_a89575fed21c,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/idv-tips,https://web.archive.org/web/20230606092500id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/idv-tips,20230606092500,Identity document verification troubleshooting | Coinbase Help,Getting Started,ok,,2797
cb_help_d6c438324659,https://help.coinbase.com/en/coinbase/managing-my-account/link-a-payment-method/how-do-i-make-a-purchase-using-a-3d-secure-card-on-the-mobile-app,https://web.archive.org/web/20230314223710id_/https://help.coinbase.com/en/coinbase/managing-my-account/link-a-payment-method/how-do-i-make-a-purchase-using-a-3d-secure-card-on-the-mobile-app,20230314223710,How do I make a purchase using a 3D secure card on the mobile app? | Coinbase Help,Managing My Account,ok,,755
cb_help_e3bb65ecd332,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/eu-verification-levels-faq,https://web.archive.org/web/20230208234322id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/eu-verification-levels-faq,20230208234322,EU verification levels FAQ | Coinbase Help,Managing My Account,ok,,1573
cb_help_f91d4ae11b73,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/ive-installed-a-smartphone-2-factor-app-how-do-i-stop-receiving-sms-codes,https://web.archive.org/web/20230306004431id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/ive-installed-a-smartphone-2-factor-app-how-do-i-stop-receiving-sms-codes,20230306004431,I've installed a smartphone 2-factor app. How do I stop receiving SMS codes? | Coinbase Help,Managing My Account,ok,,736
cb_help_8dd83225b437,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/landlines-and-2-step-verification,https://web.archive.org/web/20230602183954id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/landlines-and-2-step-verification,20230602183954,Landlines and 2-step verification | Coinbase Help,Managing My Account,ok,,590
